Country,Stadium,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5
IND,Wankhede Stadium,SS Iyer,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,Wankhede Stadium,KM Jadhav,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,Wankhede Stadium,KD Karthik,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,Wankhede Stadium,RR Pant,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,Wankhede Stadium,PA Patel,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,Wankhede Stadium,AM Rahane,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,Wankhede Stadium,KL Rahul,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,Wankhede Stadium,RG Sharma,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,JSCA International Stadium,R Ashwin,3,3,29,1,150,6,25,5.17,29,0,0
IND,JSCA International Stadium,Mohammed Shami,3,3,26,1,117,5,23.4,4.5,31.2,0,0
IND,JSCA International Stadium,RA Jadeja,3,3,26.2,0,139,4,34.75,5.27,39.5,0,0
IND,JSCA International Stadium,DS Kulkarni,2,2,15,0,116,4,29,7.73,22.5,0,0
IND,JSCA International Stadium,Kuldeep Yadav,1,1,10,0,64,3,21.33,6.4,20,0,0
IND,JSCA International Stadium,AR Patel,2,2,20,0,83,3,27.66,4.15,40,0,0
IND,JSCA International Stadium,A Mishra,1,1,10,0,42,2,21,4.2,30,0,0
IND,JSCA International Stadium,I Sharma,1,1,7,0,29,2,14.5,4.14,21,0,0
IND,JSCA International Stadium,R Vinay Kumar,1,1,8,0,52,2,26,6.5,24,0,0
IND,JSCA International Stadium,STR Binny,1,1,8,1,28,1,28,3.5,48,0,0
IND,JSCA International Stadium,B Kumar,1,1,10,2,40,1,40,4,60,0,0
IND,JSCA International Stadium,HH Pandya,1,1,5,0,31,1,31,6.2,30,0,0
IND,JSCA International Stadium,SK Raina,2,2,9,0,39,1,39,4.33,54,0,0
IND,JSCA International Stadium,UT Yadav,1,1,10,1,60,1,60,6,60,0,0
IND,JSCA International Stadium,JJ Bumrah,1,1,10,0,53,0,NaN,5.3,NaN,0,0
IND,JSCA International Stadium,KM Jadhav,3,2,10,0,59,0,NaN,5.9,NaN,0,0
IND,JSCA International Stadium,AT Rayudu,2,1,4,0,33,0,NaN,8.25,NaN,0,0
IND,JSCA International Stadium,V Shankar,1,1,8,0,44,0,NaN,5.5,NaN,0,0
IND,JSCA International Stadium,KV Sharma,1,1,10,0,61,0,NaN,6.1,NaN,0,0
IND,JSCA International Stadium,JD Unadkat,1,1,6,0,31,0,NaN,5.16,NaN,0,0
IND,JSCA International Stadium,Yuvraj Singh,2,1,1,0,12,0,NaN,12,NaN,0,0
IND,JSCA International Stadium,S Dhawan,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,JSCA International Stadium,MS Dhoni,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,JSCA International Stadium,G Gambhir,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,JSCA International Stadium,V Kohli,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,JSCA International Stadium,MK Pandey,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,JSCA International Stadium,AM Rahane,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,JSCA International Stadium,RG Sharma,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,JSCA International Stadium,RV Uthappa,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,MA Chidambaram Stadium,B Kumar,3,3,23,3,120,6,20,5.21,23,0,0
IND,MA Chidambaram Stadium,YS Chahal,1,1,5,0,30,3,10,6,10,0,0
IND,MA Chidambaram Stadium,RA Jadeja,2,2,20,0,120,3,40,6,40,0,0
IND,MA Chidambaram Stadium,Harbhajan Singh,1,1,10,0,50,2,25,5,30,0,0
IND,MA Chidambaram Stadium,Kuldeep Yadav,2,2,14,0,78,2,39,5.57,42,0,0
IND,MA Chidambaram Stadium,A Mithun,1,1,7,1,32,2,16,4.57,21,0,0
IND,MA Chidambaram Stadium,HH Pandya,1,1,4,0,28,2,14,7,12,0,0
IND,MA Chidambaram Stadium,IK Pathan,1,1,9,1,42,2,21,4.66,27,0,0
IND,MA Chidambaram Stadium,JJ Bumrah,1,1,4,0,20,1,20,5,24,0,0
IND,MA Chidambaram Stadium,DL Chahar,1,1,10,1,48,1,48,4.8,60,0,0
IND,MA Chidambaram Stadium,AB Dinda,1,1,9.1,0,45,1,45,4.9,55,0,0
IND,MA Chidambaram Stadium,A Mishra,1,1,10,1,55,1,55,5.5,60,0,0
IND,MA Chidambaram Stadium,Mohammed Shami,1,1,9,1,57,1,57,6.33,54,0,0
IND,MA Chidambaram Stadium,AR Patel,1,1,10,0,40,1,40,4,60,0,0
IND,MA Chidambaram Stadium,SK Raina,3,2,8.2,0,47,1,47,5.64,50,0,0
IND,MA Chidambaram Stadium,I Sharma,1,1,10,0,39,1,39,3.9,60,0,0
IND,MA Chidambaram Stadium,MM Sharma,1,1,10,0,48,1,48,4.8,60,0,0
IND,MA Chidambaram Stadium,R Sharma,1,1,10,0,45,1,45,4.5,60,0,0
IND,MA Chidambaram Stadium,R Ashwin,1,1,10,0,34,0,NaN,3.4,NaN,0,0
IND,MA Chidambaram Stadium,S Dube,1,1,7.5,0,68,0,NaN,8.68,NaN,0,0
IND,MA Chidambaram Stadium,KM Jadhav,2,1,1,0,11,0,NaN,11,NaN,0,0
IND,MA Chidambaram Stadium,V Kohli,5,2,3.5,0,32,0,NaN,8.34,NaN,0,0
IND,MA Chidambaram Stadium,MK Tiwary,1,1,1,0,15,0,NaN,15,NaN,0,0
IND,MA Chidambaram Stadium,Yuvraj Singh,1,1,5,0,33,0,NaN,6.6,NaN,0,0
IND,MA Chidambaram Stadium,S Dhawan,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,MA Chidambaram Stadium,MS Dhoni,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,MA Chidambaram Stadium,G Gambhir,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,MA Chidambaram Stadium,SS Iyer,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,MA Chidambaram Stadium,MK Pandey,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,MA Chidambaram Stadium,RR Pant,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,MA Chidambaram Stadium,PA Patel,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,MA Chidambaram Stadium,AM Rahane,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,MA Chidambaram Stadium,KL Rahul,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,MA Chidambaram Stadium,V Sehwag,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,MA Chidambaram Stadium,RG Sharma,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,Himachal Pradesh Cricket Association Stadium,HH Pandya,2,2,12,0,70,4,17.5,5.83,18,0,0
IND,Himachal Pradesh Cricket Association Stadium,UT Yadav,2,2,17,0,75,4,18.75,4.41,25.5,0,0
IND,Himachal Pradesh Cricket Association Stadium,RA Jadeja,2,2,16.2,1,106,3,35.33,6.48,32.6,0,0
IND,Himachal Pradesh Cricket Association Stadium,B Kumar,3,3,27.4,4,112,3,37.33,4.04,55.3,0,0
IND,Himachal Pradesh Cricket Association Stadium,A Mishra,1,1,8.5,0,49,3,16.33,5.54,17.6,0,0
IND,Himachal Pradesh Cricket Association Stadium,Mohammed Shami,2,2,18.1,1,118,3,39.33,6.49,36.3,0,0
IND,Himachal Pradesh Cricket Association Stadium,KM Jadhav,1,1,3,0,6,2,3,2,9,0,0
IND,Himachal Pradesh Cricket Association Stadium,AR Patel,2,2,19,2,67,2,33.5,3.52,57,0,0
IND,Himachal Pradesh Cricket Association Stadium,JJ Bumrah,2,2,15,2,61,1,61,4.06,90,0,0
IND,Himachal Pradesh Cricket Association Stadium,I Sharma,1,1,10,3,37,1,37,3.7,60,0,0
IND,Himachal Pradesh Cricket Association Stadium,R Ashwin,1,1,10,0,50,0,NaN,5,NaN,0,0
IND,Himachal Pradesh Cricket Association Stadium,V Kohli,3,1,1,0,14,0,NaN,14,NaN,0,0
IND,Himachal Pradesh Cricket Association Stadium,Yuvraj Singh,1,1,2,0,15,0,NaN,7.5,NaN,0,0
IND,Himachal Pradesh Cricket Association Stadium,YS Chahal,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,Himachal Pradesh Cricket Association Stadium,S Dhawan,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,Himachal Pradesh Cricket Association Stadium,MS Dhoni,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,Himachal Pradesh Cricket Association Stadium,G Gambhir,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,Himachal Pradesh Cricket Association Stadium,SS Iyer,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,Himachal Pradesh Cricket Association Stadium,KD Karthik,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,Himachal Pradesh Cricket Association Stadium,Kuldeep Yadav,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,Himachal Pradesh Cricket Association Stadium,MK Pandey,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,Himachal Pradesh Cricket Association Stadium,AM Rahane,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,Himachal Pradesh Cricket Association Stadium,SK Raina,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,Himachal Pradesh Cricket Association Stadium,AT Rayudu,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,Himachal Pradesh Cricket Association Stadium,RG Sharma,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SL,Mahinda Rajapaksa International Cricket Stadium,R Ashwin,2,2,15,2,64,3,21.33,4.26,30,0,0
SL,Mahinda Rajapaksa International Cricket Stadium,IK Pathan,2,2,14,1,64,2,32,4.57,42,0,0
SL,Mahinda Rajapaksa International Cricket Stadium,UT Yadav,2,2,14,0,114,2,57,8.14,42,0,0
SL,Mahinda Rajapaksa International Cricket Stadium,Z Khan,2,2,16,0,102,1,102,6.37,96,0,0
SL,Mahinda Rajapaksa International Cricket Stadium,PP Ojha,2,2,6.5,0,51,1,51,7.46,41,0,0
SL,Mahinda Rajapaksa International Cricket Stadium,V Sehwag,2,1,4,0,20,0,NaN,5,NaN,0,0
SL,Mahinda Rajapaksa International Cricket Stadium,MS Dhoni,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SL,Mahinda Rajapaksa International Cricket Stadium,G Gambhir,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SL,Mahinda Rajapaksa International Cricket Stadium,V Kohli,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SL,Mahinda Rajapaksa International Cricket Stadium,SK Raina,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SL,Mahinda Rajapaksa International Cricket Stadium,RG Sharma,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SL,Pallekele International Cricket Stadium,JJ Bumrah,2,2,20,4,70,9,7.77,3.5,13.3,1,1
SL,Pallekele International Cricket Stadium,IK Pathan,1,1,10,0,61,5,12.2,6.1,12,0,1
SL,Pallekele International Cricket Stadium,YS Chahal,2,2,20,1,92,2,46,4.6,60,0,0
SL,Pallekele International Cricket Stadium,AB Dinda,1,1,7.4,0,55,2,27.5,7.17,23,0,0
SL,Pallekele International Cricket Stadium,HH Pandya,2,2,13.2,0,66,2,33,4.95,40,0,0
SL,Pallekele International Cricket Stadium,AR Patel,2,2,20,1,65,2,32.5,3.25,60,0,0
SL,Pallekele International Cricket Stadium,KM Jadhav,2,2,7.4,0,44,1,44,5.73,46,0,0
SL,Pallekele International Cricket Stadium,Z Khan,1,1,9,1,53,1,53,5.88,54,0,0
SL,Pallekele International Cricket Stadium,R Ashwin,1,1,9,0,37,0,NaN,4.11,NaN,0,0
SL,Pallekele International Cricket Stadium,V Kohli,3,1,1,0,3,0,NaN,3,NaN,0,0
SL,Pallekele International Cricket Stadium,B Kumar,2,2,19,2,94,0,NaN,4.94,NaN,0,0
SL,Pallekele International Cricket Stadium,SK Raina,1,1,2,0,12,0,NaN,6,NaN,0,0
SL,Pallekele International Cricket Stadium,RG Sharma,3,1,6,0,23,0,NaN,3.83,NaN,0,0
SL,Pallekele International Cricket Stadium,MK Tiwary,1,1,1,0,14,0,NaN,14,NaN,0,0
SL,Pallekele International Cricket Stadium,S Dhawan,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SL,Pallekele International Cricket Stadium,MS Dhoni,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SL,Pallekele International Cricket Stadium,G Gambhir,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SL,Pallekele International Cricket Stadium,AM Rahane,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SL,Pallekele International Cricket Stadium,KL Rahul,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SL,R Premadasa Stadium,B Kumar,1,1,9.4,0,42,5,8.4,4.34,11.6,0,1
SL,R Premadasa Stadium,JJ Bumrah,2,2,17,0,77,4,19.25,4.52,25.5,0,0
SL,R Premadasa Stadium,MK Tiwary,1,1,10,1,61,4,15.25,6.1,15,1,0
SL,R Premadasa Stadium,Kuldeep Yadav,2,2,18.4,1,71,3,23.66,3.8,37.3,0,0
SL,R Premadasa Stadium,R Ashwin,2,2,20,1,96,2,48,4.8,60,0,0
SL,R Premadasa Stadium,AB Dinda,2,2,16,0,104,2,52,6.5,48,0,0
SL,R Premadasa Stadium,Z Khan,2,2,16,0,75,2,37.5,4.68,48,0,0
SL,R Premadasa Stadium,HH Pandya,1,1,8,0,50,2,25,6.25,24,0,0
SL,R Premadasa Stadium,YS Chahal,1,1,10,0,36,1,36,3.6,60,0,0
SL,R Premadasa Stadium,AR Patel,1,1,10,0,55,1,55,5.5,60,0,0
SL,R Premadasa Stadium,IK Pathan,2,2,16,0,86,1,86,5.37,96,0,0
SL,R Premadasa Stadium,V Sehwag,2,2,9,1,41,1,41,4.55,54,0,0
SL,R Premadasa Stadium,R Sharma,1,1,8,0,45,1,45,5.62,48,0,0
SL,R Premadasa Stadium,SN Thakur,2,2,13,0,74,1,74,5.69,78,0,0
SL,R Premadasa Stadium,KM Jadhav,1,1,4,0,20,0,NaN,5,NaN,0,0
SL,R Premadasa Stadium,V Kohli,4,2,4,0,19,0,NaN,4.75,NaN,0,0
SL,R Premadasa Stadium,RG Sharma,4,2,3,0,10,0,NaN,3.33,NaN,0,0
SL,R Premadasa Stadium,S Dhawan,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SL,R Premadasa Stadium,MS Dhoni,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SL,R Premadasa Stadium,G Gambhir,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SL,R Premadasa Stadium,MK Pandey,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SL,R Premadasa Stadium,AM Rahane,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SL,R Premadasa Stadium,KL Rahul,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SL,R Premadasa Stadium,SK Raina,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI,Queens Park Oval,B Kumar,7,6,40,8,149,15,9.93,3.72,16,2,0
WI,Queens Park Oval,RA Jadeja,5,5,28.5,2,125,10,12.5,4.33,17.3,1,0
WI,Queens Park Oval,I Sharma,3,3,19,2,92,6,15.33,4.84,19,0,0
WI,Queens Park Oval,Kuldeep Yadav,3,2,19,0,109,5,21.8,5.73,22.8,0,0
WI,Queens Park Oval,MM Patel,2,2,19,3,82,5,16.4,4.31,22.8,0,0
WI,Queens Park Oval,KK Ahmed,2,2,14,0,100,4,25,7.14,21,0,0
WI,Queens Park Oval,R Ashwin,5,4,28,0,134,4,33.5,4.78,42,0,0
WI,Queens Park Oval,A Mishra,2,2,20,3,69,4,17.25,3.45,30,1,0
WI,Queens Park Oval,Mohammed Shami,2,2,15,1,89,4,22.25,5.93,22.5,0,0
WI,Queens Park Oval,UT Yadav,4,3,18.4,1,96,4,24,5.14,28,0,0
WI,Queens Park Oval,Harbhajan Singh,2,2,20,1,83,3,27.66,4.15,40,0,0
WI,Queens Park Oval,P Kumar,2,2,20,1,91,2,45.5,4.55,60,0,0
WI,Queens Park Oval,YK Pathan,2,2,10,0,67,2,33.5,6.7,30,0,0
WI,Queens Park Oval,SK Raina,5,3,14,0,59,2,29.5,4.21,42,0,0
WI,Queens Park Oval,YS Chahal,1,1,7,0,32,1,32,4.57,42,0,0
WI,Queens Park Oval,KM Jadhav,4,2,9,0,38,0,NaN,4.22,NaN,0,0
WI,Queens Park Oval,V Kohli,9,2,6,1,33,0,NaN,5.5,NaN,0,0
WI,Queens Park Oval,HH Pandya,2,1,9,0,32,0,NaN,3.55,NaN,0,0
WI,Queens Park Oval,R Vinay Kumar,1,1,6,1,15,0,NaN,2.5,NaN,0,0
WI,Queens Park Oval,Yuvraj Singh,2,1,5,0,25,0,NaN,5,NaN,0,0
WI,Queens Park Oval,S Badrinath,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI,Queens Park Oval,S Dhawan,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI,Queens Park Oval,MS Dhoni,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI,Queens Park Oval,SS Iyer,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI,Queens Park Oval,KD Karthik,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI,Queens Park Oval,RR Pant,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI,Queens Park Oval,PA Patel,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI,Queens Park Oval,AM Rahane,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI,Queens Park Oval,RG Sharma,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI,Queens Park Oval,M Vijay,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI,Sabina Park,UT Yadav,3,3,27.4,3,160,6,26.66,5.78,27.6,0,0
WI,Sabina Park,Mohammed Shami,2,2,20,0,116,4,29,5.8,30,1,0
WI,Sabina Park,R Ashwin,3,3,30,1,161,3,53.66,5.36,60,0,0
WI,Sabina Park,A Mishra,1,1,10,1,46,2,23,4.6,30,0,0
WI,Sabina Park,I Sharma,3,3,27.4,0,168,2,84,6.07,83,0,0
WI,Sabina Park,KM Jadhav,1,1,4,0,13,1,13,3.25,24,0,0
WI,Sabina Park,B Kumar,1,1,7,1,36,1,36,5.14,42,0,0
WI,Sabina Park,HH Pandya,1,1,6,0,27,1,27,4.5,36,0,0
WI,Sabina Park,SK Raina,3,3,10,1,49,1,49,4.9,60,0,0
WI,Sabina Park,R Vinay Kumar,1,1,9,2,46,1,46,5.11,54,0,0
WI,Sabina Park,RA Jadeja,3,3,29,2,132,0,NaN,4.55,NaN,0,0
WI,Sabina Park,V Kohli,4,2,5,0,22,0,NaN,4.4,NaN,0,0
WI,Sabina Park,Kuldeep Yadav,1,1,10,0,36,0,NaN,3.6,NaN,0,0
WI,Sabina Park,YK Pathan,1,1,1,0,7,0,NaN,7,NaN,0,0
WI,Sabina Park,S Dhawan,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI,Sabina Park,MS Dhoni,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI,Sabina Park,KD Karthik,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI,Sabina Park,PA Patel,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI,Sabina Park,AM Rahane,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI,Sabina Park,RG Sharma,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI,Sabina Park,MK Tiwary,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI,Sabina Park,M Vijay,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI,Sir Vivian Richards Stadium,Kuldeep Yadav,2,2,20,2,72,5,14.4,3.6,24,0,0
WI,Sir Vivian Richards Stadium,A Mishra,2,2,20,5,84,5,16.8,4.2,24,0,0
WI,Sir Vivian Richards Stadium,HH Pandya,2,2,16,0,72,5,14.4,4.5,19.2,0,0
WI,Sir Vivian Richards Stadium,R Ashwin,2,2,20,2,67,4,16.75,3.35,30,0,0
WI,Sir Vivian Richards Stadium,UT Yadav,2,2,17,1,68,4,17,4,25.5,0,0
WI,Sir Vivian Richards Stadium,P Kumar,2,2,20,4,83,3,27.66,4.15,40,0,0
WI,Sir Vivian Richards Stadium,MM Patel,1,1,10,1,60,3,20,6,20,0,0
WI,Sir Vivian Richards Stadium,Harbhajan Singh,1,1,10,2,24,1,24,2.4,60,0,0
WI,Sir Vivian Richards Stadium,KM Jadhav,2,1,0.1,0,0,1,0,0,1,0,0
WI,Sir Vivian Richards Stadium,I Sharma,1,1,10,0,60,1,60,6,60,0,0
WI,Sir Vivian Richards Stadium,RA Jadeja,1,1,10,0,48,0,NaN,4.8,NaN,0,0
WI,Sir Vivian Richards Stadium,V Kohli,4,1,1,0,7,0,NaN,7,NaN,0,0
WI,Sir Vivian Richards Stadium,B Kumar,1,1,5,0,19,0,NaN,3.8,NaN,0,0
WI,Sir Vivian Richards Stadium,Mohammed Shami,1,1,10,2,33,0,NaN,3.3,NaN,0,0
WI,Sir Vivian Richards Stadium,YK Pathan,2,2,11,0,51,0,NaN,4.63,NaN,0,0
WI,Sir Vivian Richards Stadium,SK Raina,2,1,4,0,31,0,NaN,7.75,NaN,0,0
WI,Sir Vivian Richards Stadium,MK Tiwary,1,1,4,0,26,0,NaN,6.5,NaN,0,0
WI,Sir Vivian Richards Stadium,S Badrinath,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI,Sir Vivian Richards Stadium,S Dhawan,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI,Sir Vivian Richards Stadium,MS Dhoni,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI,Sir Vivian Richards Stadium,KD Karthik,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI,Sir Vivian Richards Stadium,PA Patel,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI,Sir Vivian Richards Stadium,AM Rahane,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI,Sir Vivian Richards Stadium,RG Sharma,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI,Sir Vivian Richards Stadium,Yuvraj Singh,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
